page,route_header,source,destination,total_stations,intermediate_stations
357,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
358,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
359,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
360,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
361,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
362,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
363,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
364,Érvényes: 2025. VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
379,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
381,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
383,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
385,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
387,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
389,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
389,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
391,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
391,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
393,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
393,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
395,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
395,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
397,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
397,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
409,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
411,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
413,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
415,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
417,40 Pécs — Pusztaszabolcs[— Budapest],Pécs,Budapest,3,['Pusztaszabolcs[']
419,41 Dombóvár — Gyékényes,Dombóvár,Gyékényes,2,[]
420,41 Dombóvár — Gyékényes,Dombóvár,Gyékényes,2,[]
421,41 Gyékényes — Dombóvár,Gyékényes,Dombóvár,2,[]
422,41 Gyékényes — Dombóvár,Gyékényes,Dombóvár,2,[]
424,42 Dunaújváros — Pusztaszabolcs[— Budapest],Dunaújváros,Budapest,3,['Pusztaszabolcs[']
424,42 Dunaújváros — Pusztaszabolcs[— Budapest],Dunaújváros,Budapest,3,['Pusztaszabolcs[']
